id,count
0,82.77
1,242.19
2,74.26
4,26.7
5,56.96
10,114.5
11,186.36
12,320.06
15,29.65
17,108.0
18,289.35
23,255.57
25,93.07
26,36.47
31,204.65
39,143.77
40,26.43
41,180.14
42,359.09
43,149.8
51,201.95
52,80.99
54,17.52
60,139.99
61,148.56
62,106.25
63,31.22
65,115.38
66,111.14
68,125.19
71,66.79
80,30.81
82,96.93
94,141.34
98,249.71
101,24.07
102,129.73
107,93.75
112,226.73
113,67.7
115,71.38
116,116.37
120,154.72
121,67.36
122,330.47
132,204.31
143,68.09
147,88.85
150,16.9
151,85.73
152,231.02
153,89.93
155,174.5
156,65.33
159,192.68
161,127.64
163,45.44
177,167.45
186,16.2
188,19.6
190,83.38
191,90.48
192,263.48
195,310.09
200,148.8
209,309.48
210,14.66
211,194.58
214,146.42
215,24.07
218,105.15
219,34.28
222,123.04
225,14.8
228,312.6
236,202.09
241,34.85
242,180.44
243,208.56
245,18.04
247,243.02
251,121.97
252,76.37
253,84.29
254,88.29
258,326.26
260,85.2
261,169.87
265,91.94
266,273.14
267,286.83
269,151.24
270,94.47
275,99.9
278,37.75
279,84.66
286,82.64
287,29.17
288,216.56
289,151.04
293,18.42
294,151.4
297,74.46
302,124.91
303,67.72
304,56.89
307,102.34
309,15.27
311,191.04
312,137.46
314,188.62
315,205.62
319,167.55
322,108.68
323,96.53
325,124.97
327,233.44
330,37.25
332,203.31
333,17.24
338,103.4
341,117.97
345,187.15
348,116.26
349,43.87
350,116.54
352,81.6
355,18.16
356,232.84
358,71.13
363,121.48
369,183.36
371,16.94
372,145.81
375,297.89
380,140.34
388,42.69
391,132.3
392,262.58
393,362.8
394,198.63
396,27.67
401,32.71
407,77.71
409,96.35
410,107.86
416,105.62
418,114.73
420,153.27
421,209.67
422,121.47
424,286.6
428,319.77
429,225.99
431,166.57
435,12.85
439,108.58
441,12.23
447,81.38
449,126.46
451,146.66
452,17.61
454,198.56
458,242.92
463,127.34
467,13.98
470,232.83
471,145.09
474,280.19
478,15.63
483,126.39
484,109.06
485,83.03
486,131.59
491,99.64
494,104.82
495,231.79
497,194.62
499,157.13
515,110.16
518,223.33
521,194.15
525,149.16
529,263.32
532,151.75
534,79.51
540,96.78
544,282.65
547,161.26
549,42.71
563,35.28
564,158.21
567,124.86
572,108.57
577,111.67
578,260.02
585,321.83
588,139.42
589,117.76
590,102.3
592,16.11
594,233.38
596,15.12
598,335.72
599,136.16
605,29.07
606,123.96
607,255.48
608,215.82
609,103.17
610,280.48
611,201.68
614,131.67
615,224.45
616,235.56
617,125.38
618,240.51
624,117.0
629,133.3
631,97.6
633,89.15
637,26.6
638,99.99
643,72.3
644,146.9
645,36.8
646,210.7
648,194.15
650,34.63
651,205.05
652,266.81
656,117.13
657,17.47
659,73.41
660,211.19
662,102.65
665,366.51
675,319.66
681,154.32
682,202.79
685,19.64
686,205.27
689,25.1
696,129.21
703,152.34
704,96.7
705,132.91
714,230.41
717,94.86
718,14.49
720,71.7
721,261.96
723,233.34
726,177.5
728,138.8
730,205.15
731,28.89
734,333.97
737,74.65
738,18.02
745,144.31
746,27.0
749,231.85
752,24.84
753,170.01
758,228.43
765,15.22
766,226.43
768,87.6
769,193.95
774,130.05
775,109.62
781,86.31
784,315.38
794,19.19
795,271.36
796,83.25
802,157.29
803,210.15
805,36.49
806,284.98
807,96.39
809,15.41
810,164.06
812,203.69
814,115.01
818,251.11
819,152.76
825,65.82
836,108.79
839,121.84
847,256.42
848,200.68
851,105.02
852,134.78
853,23.24
857,135.01
858,42.34
859,234.12
861,21.35
867,102.68
870,232.94
871,210.56
872,201.97
874,334.7
881,197.7
886,128.06
890,85.56
895,175.34
899,89.65
900,272.6
901,264.16
902,235.41
903,39.55
913,262.49
918,208.3
923,135.92
924,42.51
926,26.23
927,19.38
930,220.82
934,32.89
937,140.74
939,140.4
941,83.26
942,367.39
946,268.65
950,98.53
953,77.33
959,91.02
961,27.93
962,84.1
964,57.15
969,174.82
971,143.04
976,35.24
978,241.55
980,236.73
981,128.78
990,355.46
993,19.03
996,21.29
998,317.76
999,169.14
1006,117.97
1008,13.45
1013,30.76
1015,97.77
1016,118.53
1022,300.28
1026,217.63
1028,249.83
1031,67.77
1034,83.55
1037,166.99
1040,91.44
1042,20.08
1046,19.17
1048,100.64
1049,109.89
1050,100.44
1051,198.71
1052,230.77
1055,208.9
1060,152.71
1064,27.1
1066,58.55
1071,100.91
1073,14.57
1089,197.42
1091,91.98
1092,59.67
1093,241.86
